Roll_No,Name,Attendance_Percentage,Daily_Study_Hours,Previous_Marks,Assignment_Marks,Internal_Marks,Final_Marks
2026ST1001,Priya Mishra,61.0,3.5,53.4,86.8,24.2,64.3
2026ST1002,Sai Khan,76.9,1.3,53.1,75.3,12.5,48.4
2026ST1003,Neha Lone,81.8,3.0,75.4,90.5,12.1,67.7
2026ST1004,Pooja Roy,73.6,2.4,97.4,66.8,13.7,61.6
2026ST1005,Babita Das,84.1,8.3,83.8,76.8,29.5,83.6
2026ST1006,Suresh Murthy,93.2,6.6,91.7,78.9,24.7,79.0
2026ST1007,Aanya Dubey,71.6,1.7,54.0,55.1,17.0,52.0
2026ST1008,Aisha Desai,74.8,2.9,56.0,96.8,23.7,65.0
2026ST1009,Aryan Dhillon,89.2,2.5,62.8,99.5,23.5,68.9
2026ST1010,Sneha Pillai,93.7,8.0,53.7,51.6,17.7,65.1
2026ST1011,Ansh Sandhu,95.1,3.8,79.3,69.8,28.5,74.7
2026ST1012,Pari Patel,69.9,6.1,55.8,79.2,28.2,67.9
2026ST1013,Aanya Patel,80.4,1.8,42.8,55.5,23.3,55.4
2026ST1014,Sanjay Ahmed,62.5,4.4,99.8,76.5,29.5,81.1
2026ST1015,Aarav Dar,88.8,7.1,72.2,63.3,23.5,71.0
2026ST1016,Sanjay Desai,78.1,9.6,92.6,63.2,21.0,79.4
2026ST1017,Rani Mehra,94.8,3.7,78.3,80.4,14.8,71.9
2026ST1018,Ramesh Dubey,96.9,9.3,75.9,74.4,14.0,77.5
2026ST1019,Kavita Nair,69.6,3.2,74.0,53.9,25.2,66.4
2026ST1020,Ritu Dhillon,90.6,2.2,68.5,77.5,16.8,66.8
2026ST1021,Sanjay Joshi,97.2,7.8,81.4,85.6,19.2,83.6
2026ST1022,Aisha Sen,96.0,5.1,54.9,53.2,12.4,60.6
2026ST1023,Mahesh Patil,60.3,7.4,43.5,53.4,12.6,52.5
2026ST1024,Vijay Reddy,71.1,5.4,72.4,86.2,27.9,74.4
2026ST1025,Diya Yadav,92.3,2.7,45.8,71.6,19.6,57.8
2026ST1026,Kiran Singh,86.9,9.9,45.9,70.1,18.1,74.1
2026ST1027,Diya Kulkarni,67.6,5.0,65.3,63.9,16.5,65.2
2026ST1028,Deepak Cheema,63.9,6.9,72.4,50.7,13.7,65.3
2026ST1029,Diya Desai,76.3,5.3,91.9,95.1,15.0,70.2
2026ST1030,Rahul Rao,97.1,8.1,57.1,84.8,25.1,80.9
2026ST1031,Anjali Tiwari,79.5,2.7,53.1,52.9,25.2,53.4
2026ST1032,Khushi Singh,62.0,5.3,95.2,76.6,13.0,69.6
2026ST1033,Babita Mehta,62.7,1.6,91.7,70.2,28.9,68.9
2026ST1034,Mahesh Ahmed,61.6,1.7,79.4,78.3,17.7,57.7
2026ST1035,Anjali Tiwari,72.6,3.4,47.9,82.3,20.2,62.4
2026ST1036,Aarti Gupta,60.4,6.6,73.8,55.0,21.7,66.6
2026ST1037,Ishaan Das,95.2,8.9,62.2,57.9,27.0,79.7
2026ST1038,Harish Malik,81.2,7.0,73.3,96.6,13.9,77.5
2026ST1039,Pari Mishra,95.6,7.7,49.3,64.1,15.8,65.3
2026ST1040,Sneha Ansari,94.1,5.5,55.1,95.4,12.9,68.5
2026ST1041,Kavita Naidu,61.8,4.0,47.8,99.0,14.9,56.4
2026ST1042,Jyoti Roy,82.4,2.0,96.7,84.6,14.7,64.9
2026ST1043,Aisha Khan,82.1,4.9,42.5,68.2,28.8,68.3
2026ST1044,Aditya Das,68.4,3.2,46.2,89.0,27.9,60.3
2026ST1045,Harish Shukla,66.2,9.4,91.9,98.8,26.6,91.5
2026ST1046,Vivaan Mehta,89.5,4.0,95.8,90.1,27.6,85.1
2026ST1047,Ananya Desai,91.5,2.0,92.3,92.9,16.0,75.1
2026ST1048,Vikram Das,72.2,8.2,53.7,51.2,15.5,60.7
2026ST1049,Geeta Gupta,98.7,3.5,78.5,70.0,29.7,76.0
2026ST1050,Vivaan Mishra,95.1,3.4,74.8,99.2,12.7,70.5
2026ST1051,Aarohi Pandey,91.5,4.9,99.1,55.8,28.2,77.2
2026ST1052,Aditya Tiwari,77.4,5.7,88.4,84.3,28.9,82.9
2026ST1053,Mohammad Chatterjee,77.3,9.5,95.2,81.2,23.9,83.4
2026ST1054,Rekha Nair,80.3,7.0,59.6,84.9,22.0,68.6
2026ST1055,Anjali Banerjee,87.1,9.1,76.9,65.0,21.9,74.4
2026ST1056,Aadhya Joshi,77.2,6.2,79.3,73.2,20.0,69.7
2026ST1057,Anil Shukla,66.8,1.8,70.9,81.6,18.0,62.7
